,date,sess_ctry,sess_loc,sessions,lng,lat,iso,sess_inst
0,2024-11-01,Afghanistan,Kabul,3,69.17233,34.52813,AF,3808
1,2025-03-01,American Samoa,Pago Pago,2,-170.7025,-14.27806,AS,1347
2,2025-08-01,Austria,Vienna,1,16.37208,48.20849,AT,4616
3,2025-08-01,Austria,Vienna,1,16.37208,48.20849,AT,1728
4,2025-08-01,Austria,Vienna,1,16.37208,48.20849,AT,4174
5,2025-07-01,Austria,Vienna,1,16.37208,48.20849,AT,2027
6,2025-05-01,Austria,Vienna,1,16.37208,48.20849,AT,690
7,2025-03-01,Austria,Vienna,1,16.37208,48.20849,AT,2738
8,2025-03-01,Austria,Vienna,1,16.37208,48.20849,AT,4519
9,2025-02-01,Austria,Vienna,1,16.37208,48.20849,AT,1338
10,2025-02-01,Austria,Vienna,1,16.37208,48.20849,AT,3909
11,2025-01-01,Austria,Vienna,1,16.37208,48.20849,AT,34
12,2024-12-01,Austria,Vienna,1,16.37208,48.20849,AT,2839
13,2024-12-01,Austria,Vienna,1,16.37208,48.20849,AT,3811
14,2024-11-01,Austria,Vienna,1,16.37208,48.20849,AT,2488
15,2025-08-01,Austria,Tiefgraben,1,13.30591,47.87385,AT,1036
16,2024-12-01,Austria,Salzburg,1,13.04399,47.79941,AT,2410
17,2025-03-01,Austria,Oberschützen,2,16.20732,47.35138,AT,4530
18,2025-02-01,Austria,Kapfenberg,1,15.29331,47.44458,AT,3864
19,2025-08-01,Austria,Jenbach,1,11.77245,47.39173,AT,3307
20,2025-01-01,Austria,Innsbruck,1,11.39454,47.26266,AT,3582
21,2024-12-01,Austria,Graz,1,15.45,47.06667,AT,841
22,2025-07-01,Austria,Götzis,1,9.63306,47.33306,AT,688
23,2025-03-01,Austria,Elixhausen,1,13.06667,47.86667,AT,2603
24,2025-05-01,Australia,Sydney,1,151.20732,-33.86785,AU,4858
25,2025-04-01,Azerbaijan,Baku,1,49.89201,40.37767,AZ,3690
26,2025-04-01,Bosnia and Herzegovina,Čitluk,1,17.70083,43.22861,BA,2447
27,2025-08-01,Belgium,Oudenaarde,1,3.60891,50.85168,BE,881
28,2024-12-01,Belgium,Mons,1,3.95229,50.45413,BE,3536
29,2024-12-01,Belgium,Mons,1,3.95229,50.45413,BE,1857
30,2025-06-01,Belgium,Brussels,1,4.34878,50.85045,BE,1476
31,2025-03-01,Belgium,Brussels,1,4.34878,50.85045,BE,2415
32,2025-07-01,Bulgaria,Yambol,1,26.5,42.48333,BG,5016
33,2025-06-01,Bulgaria,Varna,1,27.91667,43.21667,BG,1210
34,2024-11-01,Bulgaria,Varna,1,27.91667,43.21667,BG,39
35,2025-07-01,Bulgaria,Sofia,1,23.32415,42.69751,BG,3855
36,2025-06-01,Bulgaria,Sofia,1,23.32415,42.69751,BG,312
37,2025-04-01,Bulgaria,Sofia,1,23.32415,42.69751,BG,2964
38,2025-03-01,Bulgaria,Sofia,1,23.32415,42.69751,BG,3128
39,2025-01-01,Bulgaria,Sofia,1,23.32415,42.69751,BG,4670
40,2025-01-01,Bulgaria,Sofia,1,23.32415,42.69751,BG,3
41,2024-12-01,Bulgaria,Sofia,1,23.32415,42.69751,BG,4401
42,2025-07-01,Bulgaria,Plovdiv,2,24.75,42.15,BG,3591
43,2025-03-01,Brazil,Joinville,1,-48.84556,-26.30444,BR,4567
44,2025-03-01,Brazil,Itabaianinha,1,-37.79,-11.27389,BR,4361
45,2025-03-01,Brazil,Ferraz de Vasconcelos,1,-46.36861,-23.54083,BR,70
46,2025-07-01,Brazil,Belo Horizonte,1,-43.93778,-19.92083,BR,4978
47,2025-07-01,Brazil,Belo Horizonte,1,-43.93778,-19.92083,BR,1507
48,2025-06-01,Brazil,Belo Horizonte,1,-43.93778,-19.92083,BR,2690
49,2025-06-01,Brazil,Belo Horizonte,1,-43.93778,-19.92083,BR,1145
50,2025-06-01,Belarus,Minsk,1,27.56667,53.9,BY,1626
51,2025-06-01,Belarus,Minsk,1,27.56667,53.9,BY,3243
52,2025-06-01,Belarus,Minsk,1,27.56667,53.9,BY,4406
53,2025-06-01,Belarus,Minsk,1,27.56667,53.9,BY,3818
54,2025-04-01,Belarus,Minsk,2,27.56667,53.9,BY,2449
55,2025-08-01,Canada,Beauharnois,1,-73.8725,45.31341,CA,3694
56,2025-06-01,Canada,Beauharnois,1,-73.8725,45.31341,CA,2973
57,2025-03-01,Canada,Beauharnois,1,-73.8725,45.31341,CA,1913
58,2024-12-01,Canada,Beauharnois,1,-73.8725,45.31341,CA,1489
59,2025-07-01,Canada,Québec,1,-71.21454,46.81228,CA,2218
60,2025-04-01,Switzerland,Waldkirch,1,9.28665,47.46859,CH,4162
61,2025-03-01,Switzerland,Verbier,1,7.22651,46.1002,CH,1963
62,2024-12-01,Switzerland,Ehrendingen,2,8.34729,47.5025,CH,970
63,2025-01-01,Switzerland,Uitikon,1,8.45699,47.36911,CH,3404
64,2025-04-01,Switzerland,Spreitenbach,1,8.36792,47.42285,CH,527
65,2025-03-01,Switzerland,Spreitenbach,2,8.36792,47.42285,CH,1157
66,2025-06-01,Switzerland,Rorschach,2,9.4903,47.478,CH,3076
67,2025-05-01,Switzerland,Rorschach,1,9.4903,47.478,CH,767
68,2025-04-01,Switzerland,Rorschach,1,9.4903,47.478,CH,3400
69,2025-06-01,Switzerland,Payerne,2,6.93817,46.82192,CH,4951
70,2025-08-01,Switzerland,Männedorf,1,8.69893,47.25686,CH,621
71,2025-07-01,Switzerland,Frauenfeld,1,8.89893,47.55776,CH,2633
72,2025-04-01,Switzerland,Bülach,1,8.54049,47.52197,CH,4819
73,2025-08-01,Switzerland,Birsfelden,1,7.62322,47.5529,CH,2157
74,2025-08-01,Switzerland,Bernex,1,6.07544,46.1765,CH,3564
75,2025-03-01,Switzerland,Basel,1,7.57327,47.55839,CH,693
76,2025-08-01,Switzerland,Adliswil,1,8.52462,47.30997,CH,531
77,2025-01-01,Switzerland,Aarau,1,8.04422,47.39254,CH,372
78,2024-11-01,Chile,Santiago,1,-70.64827,-33.45694,CL,4228
79,2025-08-01,China,Shanghai,1,121.45806,31.22222,CN,2558
80,2024-12-01,Costa Rica,San José,3,-85.13572,10.95192,CR,4443
81,2024-12-01,Costa Rica,San José,3,-84.08333,9.93333,CR,3370
82,2025-01-01,Cabo Verde,Praia,2,-23.51254,14.93152,CV,2156
83,2025-06-01,Cyprus,Nicosia,1,33.3642,35.17531,CY,1623
84,2025-07-01,Cyprus,Limassol,1,33.03794,34.68406,CY,3193
85,2025-05-01,Cyprus,Larnaca,1,33.6233,34.92291,CY,3837
86,2025-01-01,Czechia,Žatec,1,13.54577,50.32717,CZ,4819
87,2024-12-01,Czechia,Žatec,1,13.54577,50.32717,CZ,4435
88,2024-12-01,Czechia,Prague,1,14.42076,50.08804,CZ,1542
89,2024-11-01,Czechia,Prague,1,14.42076,50.08804,CZ,2518
90,2025-08-01,Czechia,Pohořelice,1,16.52445,48.98119,CZ,3887
91,2025-08-01,Czechia,Pohořelice,1,16.52445,48.98119,CZ,846
92,2025-05-01,Czechia,Pardubice,1,15.77659,50.04075,CZ,3222
93,2025-03-01,Czechia,Jesenice,2,13.46948,50.09703,CZ,4443
94,2025-03-01,Czechia,Jesenice,1,13.46948,50.09703,CZ,3893
95,2025-03-01,Czechia,Jesenice,1,13.46948,50.09703,CZ,2349
96,2025-03-01,Czechia,Jesenice,2,14.5135,49.96814,CZ,3556
97,2025-03-01,Czechia,Jesenice,1,14.5135,49.96814,CZ,133
98,2025-03-01,Czechia,Jesenice,1,14.5135,49.96814,CZ,801
99,2025-01-01,Czechia,Český Brod,1,14.86081,50.0742,CZ,3177
100,2024-12-01,Czechia,České Budějovice,1,14.47434,48.97447,CZ,918
101,2024-11-01,Czechia,České Budějovice,1,14.47434,48.97447,CZ,4011
102,2024-12-01,Czechia,Beroun,2,14.072,49.96382,CZ,2147
103,2024-12-01,Czechia,Beroun,2,14.072,49.96382,CZ,2455
104,2024-11-01,Czechia,Beroun,2,14.072,49.96382,CZ,1242
105,2024-11-01,Czechia,Beroun,1,14.072,49.96382,CZ,4528
106,2025-08-01,Germany,Zwickau,1,12.48839,50.72724,DE,1837
107,2025-04-01,Germany,Zwickau,1,12.48839,50.72724,DE,1733
108,2025-03-01,Germany,Zeuthen,1,13.62174,52.34803,DE,3649
109,2025-08-01,Germany,Zeitz,1,12.1369,51.04962,DE,3994
110,2025-08-01,Germany,Zeithain,1,13.33809,51.33356,DE,3240
111,2025-03-01,Germany,Zeithain,1,13.33809,51.33356,DE,2862
112,2025-03-01,Germany,Zeithain,1,13.33809,51.33356,DE,4878
113,2025-08-01,Germany,Zehdenick,1,13.33165,52.97852,DE,3855
114,2025-05-01,Germany,Würzburg,1,9.95121,49.79391,DE,4174
115,2024-12-01,Germany,Würzburg,1,9.95121,49.79391,DE,3074
116,2024-11-01,Germany,Würzburg,1,9.95121,49.79391,DE,4653
117,2025-08-01,Germany,Wuppertal,1,7.14816,51.25627,DE,316
118,2025-08-01,Germany,Wuppertal,1,7.14816,51.25627,DE,2883
119,2025-07-01,Germany,Wuppertal,1,7.14816,51.25627,DE,177
120,2025-06-01,Germany,Wuppertal,1,7.14816,51.25627,DE,1264
121,2025-04-01,Germany,Wuppertal,1,7.14816,51.25627,DE,1462
122,2025-04-01,Germany,Wuppertal,1,7.14816,51.25627,DE,2495
123,2025-04-01,Germany,Wuppertal,1,7.14816,51.25627,DE,858
124,2025-04-01,Germany,Wuppertal,1,7.14816,51.25627,DE,1287
125,2025-03-01,Germany,Wuppertal,1,7.14816,51.25627,DE,1829
126,2025-03-01,Germany,Wuppertal,1,7.14816,51.25627,DE,2108
127,2025-03-01,Germany,Wuppertal,1,7.14816,51.25627,DE,4947
128,2025-03-01,Germany,Wuppertal,1,7.14816,51.25627,DE,2246
129,2025-03-01,Germany,Wuppertal,1,7.14816,51.25627,DE,4592
130,2025-03-01,Germany,Wuppertal,1,7.14816,51.25627,DE,3527
131,2025-03-01,Germany,Wuppertal,1,7.14816,51.25627,DE,2710
132,2024-12-01,Germany,Wuppertal,1,7.14816,51.25627,DE,3025
133,2025-03-01,Germany,Wolfsburg,1,10.7815,52.42452,DE,3736
134,2025-08-01,Germany,Wolfratshausen,1,11.42166,47.91289,DE,4884
135,2025-04-01,Germany,Wolfhagen,1,9.17015,51.32611,DE,4892
136,2025-01-01,Germany,Wolfenbüttel,1,10.54095,52.16442,DE,3926
137,2025-04-01,Germany,Wittenberge,1,11.75032,53.00543,DE,1854
138,2025-08-01,Germany,Witten,1,7.35258,51.44362,DE,4263
139,2024-12-01,Germany,Wissen,1,7.73466,50.77915,DE,1778
140,2025-04-01,Germany,Winnenden,1,9.39819,48.87563,DE,3983
141,2025-03-01,Germany,Wietmarschen,1,7.13408,52.51806,DE,4757
142,2025-08-01,Germany,Wiesbaden,1,8.24932,50.08258,DE,4062
143,2025-08-01,Germany,Wiesbaden,1,8.24932,50.08258,DE,257
144,2025-08-01,Germany,Wiesbaden,1,8.24932,50.08258,DE,234
145,2025-04-01,Germany,Wiesbaden,1,8.24932,50.08258,DE,2478
146,2024-12-01,Germany,Wiesbaden,1,8.24932,50.08258,DE,1561
147,2025-04-01,Germany,Wiehl,1,7.55062,50.9495,DE,1826
148,2025-03-01,Germany,Wiehl,1,7.55062,50.9495,DE,474
149,2025-08-01,Germany,Westhofen,1,8.24806,49.70444,DE,796
150,2025-04-01,Germany,Westerstede,1,7.92737,53.25682,DE,590
151,2025-04-01,Germany,Westerstede,1,7.92737,53.25682,DE,1695
152,2025-08-01,Germany,Wesel,1,6.62037,51.6669,DE,313
153,2025-04-01,Germany,Wendeburg,1,10.39255,52.32957,DE,1838
154,2025-04-01,Germany,Welver,1,7.96667,51.61667,DE,4613
155,2024-12-01,Germany,Weißenfels,1,11.96843,51.20148,DE,65
156,2025-04-01,Germany,Weingarten,1,8.2862,49.25946,DE,1289
157,2025-01-01,Germany,Weingarten,1,8.2862,49.25946,DE,4763
158,2025-04-01,Germany,Weingarten,1,8.52678,49.05457,DE,2521
159,2025-01-01,Germany,Weingarten,1,8.52678,49.05457,DE,3086
160,2025-04-01,Germany,Weingarten,1,9.63863,47.81009,DE,1852
161,2025-01-01,Germany,Weingarten,1,9.63863,47.81009,DE,2286
162,2025-08-01,Germany,Weimar,1,11.32903,50.9803,DE,3962
163,2025-08-01,Germany,Weil im Schönbuch,1,9.06355,48.6227,DE,3757
164,2025-08-01,Germany,Weilerswist,1,6.84585,50.75292,DE,4976
165,2025-08-01,Germany,Weilerbach,1,7.63333,49.48333,DE,2317
166,2025-03-01,Germany,Weilburg,1,8.26249,50.48438,DE,3658
167,2025-03-01,Germany,Weiden,1,12.15613,49.67682,DE,4840
168,2025-04-01,Germany,Wedel,1,9.69835,53.58374,DE,2229
169,2025-04-01,Germany,Waren,1,12.67985,53.5204,DE,1729
170,2024-11-01,Germany,Waren,1,12.67985,53.5204,DE,4191
171,2025-05-01,Germany,Wandlitz,1,13.45799,52.74196,DE,48
172,2025-03-01,Germany,Wandlitz,1,13.45799,52.74196,DE,3501
173,2025-07-01,Germany,Waltershausen,1,10.55791,50.89827,DE,1565
